# BEISPIELDATEN PROTOTYP - KEINE ECHTEN MEDTRONIC-DATEN
# Erstellt: 2026-03-26
# Basis: Ueberschlagsweise Schaetzwerte aus Stichproben-Listen
# Felder: klinik_name, produkt_familie, produkt_modell, anzahl, stk_zyklus_jahre, naechste_stk_faellig
klinik_name,produkt_familie,produkt_modell,anzahl,stk_zyklus_jahre,naechste_stk_faellig
# ============================================================
# UNIKLINIKEN (Grosse Zentren - 30-40% Gesamtvolumen)
# ============================================================
Universitaetsklinikum Hamburg-Eppendorf,NIM,NIM4CM01,4,1,2025-Q2
Universitaetsklinikum Hamburg-Eppendorf,NIM,NIM_Response_3.0,2,1,2025-Q3
Universitaetsklinikum Hamburg-Eppendorf,IPC,EC300_Legend,3,1,2025-Q1
Universitaetsklinikum Hamburg-Eppendorf,Schrittmacher_Prog,PROG_2090,8,2,2026-Q1
Universitaetsklinikum Hamburg-Eppendorf,AEX,AEX_40-405-1,2,1,2025-Q2
Universitaetsklinikum Hamburg-Eppendorf,Beatmung,980X1DEDRAC,6,1,2025-Q3
Universitaetsklinikum Bonn,NIM,NIM4CM01,3,1,2025-Q1
Universitaetsklinikum Bonn,NIM,NIM_Response_3.0,2,1,2025-Q2
Universitaetsklinikum Bonn,IPC,EC300_Legend,4,1,2025-Q2
Universitaetsklinikum Bonn,Schrittmacher_Prog,PROG_2090,6,2,2025-Q3
Universitaetsklinikum Bonn,AEX,AEX_40-405-1,3,1,2025-Q1
Universitaetsklinikum Bonn,Beatmung,980X1DEDRAC,4,1,2026-Q1
Universitaetsklinikum Freiburg,NIM,NIM4CM01,3,1,2025-Q2
Universitaetsklinikum Freiburg,NIM,NIM_Response_3.0,2,1,2025-Q3
Universitaetsklinikum Freiburg,AEX,AEX_40-405-1,3,1,2025-Q1
Universitaetsklinikum Freiburg,Schrittmacher_Prog,PROG_2090,5,2,2026-Q2
Universitaetsklinikum Freiburg,Beatmung,980X1DEDRAC,8,1,2025-Q2
Universitaetsklinikum Freiburg,HF_Chirurgie,FT10,12,1,2025-Q3
Universitaetsklinikum Freiburg,IPC,EC300_Legend,3,1,2025-Q4
Universitaetsklinikum Heidelberg,NIM,NIM4CM01,2,1,2025-Q1
Universitaetsklinikum Heidelberg,NIM,NIM_Response_3.0,3,1,2025-Q2
Universitaetsklinikum Heidelberg,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsklinikum Heidelberg,Schrittmacher_Prog,PROG_2090,10,2,2026-Q1
Universitaetsklinikum Heidelberg,HF_Chirurgie,FT10,36,1,2025-Q2
Universitaetsklinikum Heidelberg,IPC,EC300_Legend,4,1,2025-Q1
Universitaetsklinikum Heidelberg,Gastro_Manometrie,MANOSCAN,2,1,2025-Q3
Universitaetsklinikum Heidelberg,Gastro_Endoskopie,ColonoscopyAI,1,1,2026-Q1
Universitaetsklinikum Erlangen,NIM,NIM4CM01,2,1,2025-Q2
Universitaetsklinikum Erlangen,NIM,NIM_Response_3.0,2,1,2025-Q1
Universitaetsklinikum Erlangen,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsklinikum Erlangen,Schrittmacher_Prog,PROG_2090,6,2,2025-Q4
Universitaetsklinikum Erlangen,IPC,EC300_Legend,2,1,2025-Q2
Universitaetsklinikum Erlangen,HF_Chirurgie,FT10,10,1,2025-Q1
Universitaetsklinikum Duesseldorf,NIM,NIM_Response_3.0,3,1,2025-Q2
Universitaetsklinikum Duesseldorf,AEX,AEX_40-405-1,3,1,2025-Q1
Universitaetsklinikum Duesseldorf,Schrittmacher_Prog,PROG_2090,12,2,2026-Q1
Universitaetsklinikum Duesseldorf,Beatmung,980X1DEDRAC,10,1,2025-Q3
Universitaetsklinikum Duesseldorf,HF_Chirurgie,FT10,14,1,2025-Q2
Universitaetsklinikum Duesseldorf,IPC,EC300_Legend,3,1,2026-Q1
Universitaetsklinikum Tuebingen,NIM,NIM4CM01,2,1,2025-Q3
Universitaetsklinikum Tuebingen,NIM,NIM_Response_3.0,2,1,2025-Q1
Universitaetsklinikum Tuebingen,Schrittmacher_Prog,PROG_2090,6,2,2025-Q4
Universitaetsklinikum Tuebingen,AEX,AEX_40-405-1,2,1,2025-Q2
Universitaetsklinikum Tuebingen,HF_Chirurgie,FT10,10,1,2025-Q3
